                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.92006,                0.79684,                 1.1995,                 0.8898,                  0.745,                0.86606,                0.57755,                  1.218,                0.77631,                 1.4234,              0.0021405,              0.0021405,              0.0021405
                     72,                0.88893,                0.77084,                 1.1823,                0.87033,                0.78871,                0.86422,                  0.569,                  1.266,                0.80119,                 1.4958,              0.0020161,              0.0020161,              0.0020161
                     73,                0.90525,                0.77821,                 1.1906,                0.84406,                0.78365,                0.85905,                0.57246,                  1.291,                0.78926,                 1.5081,              0.0018948,              0.0018948,              0.0018948
                     74,                0.88268,                0.76584,                 1.1886,                0.84413,                0.80381,                0.86694,                0.56584,                 1.2321,                0.80357,                 1.4463,              0.0017765,              0.0017765,              0.0017765
                     75,                0.89214,                 0.7809,                 1.1806,                0.85417,                0.78556,                0.86783,                0.57865,                 1.2499,                 0.7631,                 1.4553,              0.0016615,              0.0016615,              0.0016615
                     76,                0.87355,                0.76656,                 1.1747,                0.86863,                0.77215,                0.87366,                0.58994,                 1.1981,                 0.7735,                 1.4175,              0.0015498,              0.0015498,              0.0015498
                     77,                0.88077,                0.76194,                 1.1837,                 0.8586,                0.78303,                0.86801,                 0.5868,                 1.2408,                0.75652,                 1.4649,              0.0014416,              0.0014416,              0.0014416
                     78,                0.87519,                 0.7468,                 1.1732,                0.87558,                0.79043,                0.86858,                0.58902,                  1.262,                0.78066,                 1.4733,               0.001337,               0.001337,               0.001337
                     79,                0.87921,                0.76033,                  1.179,                0.86953,                0.76914,                0.86528,                0.58256,                 1.2289,                0.81954,                 1.4532,               0.001236,               0.001236,               0.001236
                     80,                0.83902,                0.72838,                  1.161,                0.83095,                0.77442,                0.86026,                0.57281,                 1.2494,                0.76402,                 1.4749,              0.0011387,              0.0011387,              0.0011387
